epoch,train_loss,train_acc,val_loss,val_acc
1,0.6343,0.7764,0.2821,0.9029
2,0.3626,0.8743,0.2518,0.9064
3,0.2936,0.9027,0.2359,0.911
4,0.2641,0.9082,0.23,0.9237
5,0.2469,0.9099,0.2265,0.9272
6,0.2194,0.9241,0.2238,0.9237
7,0.2139,0.9235,0.2316,0.9202
8,0.2078,0.9282,0.2211,0.9249
9,0.1732,0.9415,0.2123,0.9283
10,0.1628,0.9458,0.2204,0.9249
11,0.1547,0.9458,0.2274,0.9318
12,0.1579,0.9461,0.2,0.9422
13,0.1465,0.9484,0.234,0.9283
14,0.1313,0.9545,0.2252,0.9306
15,0.1425,0.9502,0.212,0.9376
16,0.1374,0.9499,0.2112,0.9364
17,0.125,0.9571,0.2484,0.9306
18,0.1212,0.9589,0.2476,0.926
19,0.1168,0.9612,0.2735,0.9191
20,0.127,0.9574,0.2321,0.9399
21,0.1042,0.9629,0.2471,0.9249
22,0.1201,0.9589,0.2425,0.9295
23,0.1116,0.96,0.221,0.9468
24,0.1162,0.956,0.2408,0.9329
25,0.1108,0.9583,0.2621,0.9272
